question,ground_truth_context,recall_5_without_reranker,recall_5_with_reranker,recall_10_without_reranker,recall_10_with_reranker,time_without_reranker_ms,time_with_reranker_ms,top_3_results_without,top_3_results_with,ttft_ms,total_latency_ms
Which form of comics entails the use of photographic images?,"Comics are a medium used to express ideas by images, often combined with text or other visual information. Comics frequently takes the form of juxtaposed sequences of panels of images. Often textual d...",True,True,True,True,172.67,384.09,"Comics are a medium used to express ideas by images, often combined with text or other visual inform; Comics are a medium used to express ideas by images, often combined with text or other visual inform; Comics are a medium used to express ideas by images, often combined with text or other visual inform","Comics are a medium used to express ideas by images, often combined with text or other visual inform; Comics are a medium used to express ideas by images, often combined with text or other visual inform; Comics are a medium used to express ideas by images, often combined with text or other visual inform",,
Active zinc mines in India date back to what period?,"The Charaka Samhita, thought to have been written between 300 and 500 AD, mentions a metal which, when oxidized, produces pushpanjan, thought to be zinc oxide. Zinc mines at Zawar, near Udaipur in Ind...",True,True,True,True,167.81,360.8,"The Charaka Samhita, thought to have been written between 300 and 500 AD, mentions a metal which, wh; Brass, which is an alloy of copper and zinc, has been used since at least the 10th century BC in Jud; Brass, which is an alloy of copper and zinc, has been used since at least the 10th century BC in Jud","The Charaka Samhita, thought to have been written between 300 and 500 AD, mentions a metal which, wh; The Charaka Samhita, thought to have been written between 300 and 500 AD, mentions a metal which, wh; The Charaka Samhita, thought to have been written between 300 and 500 AD, mentions a metal which, wh",,
Who wrote 'The Color Purple'?,"In 1985, Spielberg released The Color Purple, an adaptation of Alice Walker's Pulitzer Prize-winning novel of the same name, about a generation of empowered African-American women during depression-er...",True,True,True,True,165.65,341.04,"In 1985, Spielberg released The Color Purple, an adaptation of Alice Walker's Pulitzer Prize-winning; Green is the color for green parties, Islamist parties, Nordic agrarian parties and Irish republican; In modern color theory, also known as the RGB color model, red, green and blue are additive primary ","In 1985, Spielberg released The Color Purple, an adaptation of Alice Walker's Pulitzer Prize-winning; A famous example of Spielberg working with the same professionals is his long-time collaboration wit; The late nineteenth century also brought the systematic study of color theory, and particularly the ",,
"According to Apple, how fast can the Thunderbolt port transfer data?","The current Mac product family uses Intel x86-64 processors. Apple introduced an emulator during the transition from PowerPC chips (called Rosetta), much as it did during the transition from Motorola ...",True,True,True,True,176.86,414.6,The current Mac product family uses Intel x86-64 processors. Apple introduced an emulator during the; A January 2013 press release from the USB group revealed plans to update USB 3.0 to 10 Gbit/s. The g; The current Mac product family uses Intel x86-64 processors. Apple introduced an emulator during the,The current Mac product family uses Intel x86-64 processors. Apple introduced an emulator during the; The current Mac product family uses Intel x86-64 processors. Apple introduced an emulator during the; A January 2013 press release from the USB group revealed plans to update USB 3.0 to 10 Gbit/s. The g,,
Octaves in linear pitch are what size?,"This creates a linear pitch space in which octaves have size 12, semitones (the distance between adjacent keys on the piano keyboard) have size 1, and A440 is assigned the number 69. (See Frequencies ...",True,True,True,True,165.85,374.04,"This creates a linear pitch space in which octaves have size 12, semitones (the distance between adj; The relative pitches of individual notes in a scale may be determined by one of a number of tuning s; Temporal theories offer an alternative that appeals to the temporal structure of action potentials, ","This creates a linear pitch space in which octaves have size 12, semitones (the distance between adj; Somalis have a rich musical heritage centered on traditional Somali folklore. Most Somali songs are ; Somalis have a rich musical heritage centered on traditional Somali folklore. Most Somali songs are ",,
Which city did Osman's son capture?,"In the century after the death of Osman I, Ottoman rule began to extend over the Eastern Mediterranean and the Balkans. Osman's son, Orhan, captured the northwestern Anatolian city of Bursa in 1324, a...",True,True,True,True,170.78,371.38,"In the century after the death of Osman I, Ottoman rule began to extend over the Eastern Mediterrane; Ertuğrul, the father of Osman I (founder of the Ottoman Empire), arrived in Anatolia from Merv (Turk; The Ottoman Empire (/ˈɒtəmən/; Ottoman Turkish: دَوْلَتِ عَلِيّهٔ عُثمَانِیّه‎ Devlet-i Aliyye-i Osm","In the century after the death of Osman I, Ottoman rule began to extend over the Eastern Mediterrane; The Ottoman Empire (/ˈɒtəmən/; Ottoman Turkish: دَوْلَتِ عَلِيّهٔ عُثمَانِیّه‎ Devlet-i Aliyye-i Osm; Suleiman the Magnificent (1520–1566) captured Belgrade in 1521, conquered the southern and central p",,
When did Americans really begin to establish their own laws independent of the English?,"Early on, American courts, even after the Revolution, often did cite contemporary English cases. This was because appellate decisions from many American courts were not regularly reported until the mi...",True,True,True,True,165.41,375.9,"During the 1760s and early 1770s, relations between the Thirteen Colonies and Britain became increas; In 1603, James VI, King of Scots, ascended (as James I) to the English throne and in 1604 negotiated; Early on, American courts, even after the Revolution, often did cite contemporary English cases. Thi","Beginning the Age of Revolution, the American Revolution and the ensuing political upheaval during t; During the 1760s and early 1770s, relations between the Thirteen Colonies and Britain became increas; During the 1760s and early 1770s, relations between the Thirteen Colonies and Britain became increas",29.64,362.58
What acidic salts were commonly found in the early types of paper produced?,"Much of the early paper made from wood pulp contained significant amounts of alum, a variety of aluminium sulfate salts that is significantly acidic. Alum was added to paper to assist in sizing, makin...",True,True,True,True,173.1,307.85,"Much of the early paper made from wood pulp contained significant amounts of alum, a variety of alum; Much of the early paper made from wood pulp contained significant amounts of alum, a variety of alum; Much of the early paper made from wood pulp contained significant amounts of alum, a variety of alum","Much of the early paper made from wood pulp contained significant amounts of alum, a variety of alum; Much of the early paper made from wood pulp contained significant amounts of alum, a variety of alum; Much of the early paper made from wood pulp contained significant amounts of alum, a variety of alum",,
What about the climate of its coastal areas?,"The lands of Galicia are ascribed to two different areas in the Köppen climate classification: a south area (roughly, the province of Ourense and Pontevedra) with tendencies to have some summer drough...",False,False,True,True,165.62,365.14,"The climate of the coastal plain is influenced by the Atlantic Ocean, which keeps conditions mild in; The climate of the coastal plain is influenced by the Atlantic Ocean, which keeps conditions mild in; Temperatures in Israel vary widely, especially during the winter. Coastal areas, such as those of Te","The climate of the coastal plain is influenced by the Atlantic Ocean, which keeps conditions mild in; The climate of the coastal plain is influenced by the Atlantic Ocean, which keeps conditions mild in; The interior of Galicia is characterized by its hilly landscape, although mountain ranges rise to 2,",,
Who ran against Philbin instead of Kerry?,"In 1970, Kerry had considered running for Congress in the Democratic primary against hawkish Democrat Philip J. Philbin of Massachusetts's 3rd congressional district, but deferred in favour of Robert ...",True,True,True,True,169.37,342.43,"In 1970, Kerry had considered running for Congress in the Democratic primary against hawkish Democra; In the 2004 Democratic presidential primaries, John Kerry defeated several Democratic rivals, includ; In his 2004 presidential campaign, Kerry criticized George W. Bush for the Iraq War. He and his runn","In 1970, Kerry had considered running for Congress in the Democratic primary against hawkish Democra; In 1970, Kerry had considered running for Congress in the Democratic primary against hawkish Democra; In the 2004 Democratic presidential primaries, John Kerry defeated several Democratic rivals, includ",,
How often does the Sahara go without rainfall?,"The central part of the Sahara is hyperarid, with little to no vegetation. The northern and southern reaches of the desert, along with the highlands, have areas of sparse grassland and desert shrub, w...",False,False,False,False,144.08,534.6,The primary source of rain in the Sahara is the equatorial low a continuous belt of low-pressure sys; The average annual rainfall ranges from very low in the northern and southern fringes of the desert ; The primary source of rain in the Sahara is the equatorial low a continuous belt of low-pressure sys,The average annual rainfall ranges from very low in the northern and southern fringes of the desert ; The average annual rainfall ranges from very low in the northern and southern fringes of the desert ; The average annual rainfall ranges from very low in the northern and southern fringes of the desert ,,
What percentage of adults in the Netherlands spoke a dialect or regional language in 1995?,Dutch dialects and regional languages are not spoken as often as they used to be. Recent research by Geert Driessen shows that the use of dialects and regional languages among both Dutch adults and yo...,True,True,True,True,168.77,311.98,Dutch dialects and regional languages are not spoken as often as they used to be. Recent research by; Dutch dialects and regional languages are not spoken as often as they used to be. Recent research by; Dutch dialects and regional languages are not spoken as often as they used to be. Recent research by,Dutch dialects and regional languages are not spoken as often as they used to be. Recent research by; Dutch dialects and regional languages are not spoken as often as they used to be. Recent research by; Dutch dialects and regional languages are not spoken as often as they used to be. Recent research by,,
Why did the Romans decide to withdraw their forces from Greece?,"Fearing the worst, the Romans began a major mobilization, all but pulling out of recently pacified Spain and Gaul. They even established a major garrison in Sicily in case the Seleucids ever got to It...",True,True,True,True,180.36,430.71,"The past century had seen the Greek world dominated by the three primary successor kingdoms of Alexa; Fearing the worst, the Romans began a major mobilization, all but pulling out of recently pacified S; The past century had seen the Greek world dominated by the three primary successor kingdoms of Alexa","The past century had seen the Greek world dominated by the three primary successor kingdoms of Alexa; The past century had seen the Greek world dominated by the three primary successor kingdoms of Alexa; Fearing the worst, the Romans began a major mobilization, all but pulling out of recently pacified S",,
Why are assistants used?,"Shooting as practised in Britain, as opposed to traditional hunting, requires little questing for game—around thirty-five million birds are released onto shooting estates every year, some having been ...",False,False,False,False,174.5,334.23,"The Prussian General Staff developed by Moltke proved to be extremely effective, in contrast to the ; In 494 BC, the city was at war with two neighboring tribes. The plebeian soldiers refused to march a; Application of electric motors revolutionized industry. Industrial processes were no longer limited ","The Prussian General Staff developed by Moltke proved to be extremely effective, in contrast to the ; According to Ismā‘īlīsm, Allah has sent ""seven"" great prophets known as “Nātıq” (Spoken) in order to; Service dogs such as guide dogs, utility dogs, assistance dogs, hearing dogs, and psychological ther",29.08,514.51
When were three additional roads built?,"During the 1930s, the first two motorways were built across the Land, the A4 motorway as an important east-west connection in central Germany and the main link between Berlin and south-west Germany, a...",True,True,True,True,181.83,470.6,By the early 1970s Portugal's fast economic growth with increasing consumption and purchase of new a; By the early 1970s Portugal's fast economic growth with increasing consumption and purchase of new a; By the early 1970s Portugal's fast economic growth with increasing consumption and purchase of new a,"During the 1930s, the first two motorways were built across the Land, the A4 motorway as an importan; The Cork area has seen improvements in road infrastructure in recent years. For example, the Cork So; In the 1960s, the first Nanjing Yangtze River Bridge was completed, and served as the only bridge cr",,
How many feet above sea level is Todt Hil?,"The city's total area is 468.9 square miles (1,214 km2). 164.1 sq mi (425 km2) of this is water and 304.8 sq mi (789 km2) is land. The highest point in the city is Todt Hill on Staten Island, which, a...",True,True,True,True,167.41,336.56,"The city's total area is 468.9 square miles (1,214 km2). 164.1 sq mi (425 km2) of this is water and ; The River Plym, which flows off Dartmoor to the north-east, forms a smaller estuary to the east of t; The River Plym, which flows off Dartmoor to the north-east, forms a smaller estuary to the east of t","The city's total area is 468.9 square miles (1,214 km2). 164.1 sq mi (425 km2) of this is water and ; Boston has an area of 89.6 square miles (232.1 km2)—48.4 square miles (125.4 km2) (54.0%) of land an; Boston has an area of 89.6 square miles (232.1 km2)—48.4 square miles (125.4 km2) (54.0%) of land an",28.65,88.69
What is Portugal the world's leading producer of?,"Since the Carnation Revolution of 1974, which culminated in the end of one of Portugal's most notable phases of economic expansion (that started in the 1960s), a significant change has occurred in the...",True,True,True,True,182.66,313.51,"Portugal is a significant European minerals producer and is ranked among Europe's leading copper pro; Agriculture in Portugal is based on small to medium-sized family-owned dispersed units. However, the; Since the Carnation Revolution of 1974, which culminated in the end of one of Portugal's most notabl","Since the Carnation Revolution of 1974, which culminated in the end of one of Portugal's most notabl; Portugal is a significant European minerals producer and is ranked among Europe's leading copper pro; Traditionally a sea-power, Portugal has had a strong tradition in the Portuguese fishing sector and ",,
What did France get that gave them a supply of sugar?,"The Anglo-French hostilities were ended in 1763 by the Treaty of Paris, which involved a complex series of land exchanges, the most important being France's cession to Spain of Louisiana, and to Great...",True,True,True,True,169.79,337.43,"The Anglo-French hostilities were ended in 1763 by the Treaty of Paris, which involved a complex ser; The Anglo-French hostilities were ended in 1763 by the Treaty of Paris, which involved a complex ser; The Anglo-French hostilities were ended in 1763 by the Treaty of Paris, which involved a complex ser","The Anglo-French hostilities were ended in 1763 by the Treaty of Paris, which involved a complex ser; The Anglo-French hostilities were ended in 1763 by the Treaty of Paris, which involved a complex ser; The Anglo-French hostilities were ended in 1763 by the Treaty of Paris, which involved a complex ser",,
What number one song was covered by an a cappella group in 1983?,"In July 1943, as a result of the American Federation of Musicians boycott of US recording studios, the a cappella vocal group The Song Spinners had a best-seller with ""Comin' In On A Wing And A Prayer...",True,True,True,True,180.58,512.16,"In July 1943, as a result of the American Federation of Musicians boycott of US recording studios, t; In July 1943, as a result of the American Federation of Musicians boycott of US recording studios, t; In July 1943, as a result of the American Federation of Musicians boycott of US recording studios, t","In July 1943, as a result of the American Federation of Musicians boycott of US recording studios, t; In July 1943, as a result of the American Federation of Musicians boycott of US recording studios, t; In July 1943, as a result of the American Federation of Musicians boycott of US recording studios, t",,
"When did Thomas Young use the term ""energy"" instead of vis viva?","In 1807, Thomas Young was possibly the first to use the term ""energy"" instead of vis viva, in its modern sense. Gustave-Gaspard Coriolis described ""kinetic energy"" in 1829 in its modern sense, and in ...",True,True,True,True,169.94,306.93,"In 1807, Thomas Young was possibly the first to use the term ""energy"" instead of vis viva, in its mo; In the late 17th century, Gottfried Leibniz proposed the idea of the Latin: vis viva, or living forc; These developments led to the theory of conservation of energy, formalized largely by William Thomso","In 1807, Thomas Young was possibly the first to use the term ""energy"" instead of vis viva, in its mo; In 1807, Thomas Young was possibly the first to use the term ""energy"" instead of vis viva, in its mo; In the late 17th century, Gottfried Leibniz proposed the idea of the Latin: vis viva, or living forc",,
What is another name for the  United Kingdom of Great Britain and Northern Ireland?,"There are two sovereign states in the isles: Ireland and the United Kingdom of Great Britain and Northern Ireland. Ireland, sometimes called the Republic of Ireland, governs five sixths of the island ...",True,True,True,True,174.45,438.61,There are two sovereign states in the isles: Ireland and the United Kingdom of Great Britain and Nor; There are two sovereign states in the isles: Ireland and the United Kingdom of Great Britain and Nor; There are two sovereign states in the isles: Ireland and the United Kingdom of Great Britain and Nor,There are two sovereign states in the isles: Ireland and the United Kingdom of Great Britain and Nor; There are two sovereign states in the isles: Ireland and the United Kingdom of Great Britain and Nor; There are two sovereign states in the isles: Ireland and the United Kingdom of Great Britain and Nor,,
What happens with inflammatory diarrhea?,"Inflammatory diarrhea occurs when there is damage to the mucosal lining or brush border, which leads to a passive loss of protein-rich fluids and a decreased ability to absorb these lost fluids. Featu...",True,True,True,True,169.47,335.36,"Inflammatory diarrhea occurs when there is damage to the mucosal lining or brush border, which leads; The most common cause is an infection of the intestines due to either a virus, bacteria, or parasite; Diarrhea, also spelled diarrhoea, is the condition of having at least three loose or liquid bowel mo","Inflammatory diarrhea occurs when there is damage to the mucosal lining or brush border, which leads; The most common cause is an infection of the intestines due to either a virus, bacteria, or parasite; The most common cause is an infection of the intestines due to either a virus, bacteria, or parasite",,
From what time span were USN Torpedo Boats stationed at Funafuti?,During the Pacific War Funafuti was used as a base to prepare for the subsequent seaborn attacks on the Gilbert Islands (Kiribati) that were occupied by Japanese forces. The United States Marine Corps...,True,True,True,True,171.94,380.4,During the Pacific War Funafuti was used as a base to prepare for the subsequent seaborn attacks on ; During the Pacific War Funafuti was used as a base to prepare for the subsequent seaborn attacks on ; During the Pacific War Funafuti was used as a base to prepare for the subsequent seaborn attacks on ,During the Pacific War Funafuti was used as a base to prepare for the subsequent seaborn attacks on ; During the Pacific War Funafuti was used as a base to prepare for the subsequent seaborn attacks on ; During the Pacific War Funafuti was used as a base to prepare for the subsequent seaborn attacks on ,,
What was Liberia's ranking compared to the other 176 countries?,Liberia scored a 3.3 on a scale from 10 (highly clean) to 0 (highly corrupt) on the 2010 Corruption Perceptions Index. This gave it a ranking 87th of 178 countries worldwide and 11th of 47 in Sub-Saha...,True,True,True,True,176.77,280.73,Liberia scored a 3.3 on a scale from 10 (highly clean) to 0 (highly corrupt) on the 2010 Corruption ; Liberia scored a 3.3 on a scale from 10 (highly clean) to 0 (highly corrupt) on the 2010 Corruption ; Liberia scored a 3.3 on a scale from 10 (highly clean) to 0 (highly corrupt) on the 2010 Corruption ,Liberia scored a 3.3 on a scale from 10 (highly clean) to 0 (highly corrupt) on the 2010 Corruption ; Liberia scored a 3.3 on a scale from 10 (highly clean) to 0 (highly corrupt) on the 2010 Corruption ; Liberia scored a 3.3 on a scale from 10 (highly clean) to 0 (highly corrupt) on the 2010 Corruption ,,
"The Monument, located in the City of London, was erected to commemorate what event?","The Monument in the City of London provides views of the surrounding area while commemorating the Great Fire of London, which originated nearby. Marble Arch and Wellington Arch, at the north and south...",True,True,True,True,170.72,341.34,The Monument in the City of London provides views of the surrounding area while commemorating the Gr; The Monument in the City of London provides views of the surrounding area while commemorating the Gr; London i/ˈlʌndən/ is the capital and most populous city of England and the United Kingdom. Standing ,The Monument in the City of London provides views of the surrounding area while commemorating the Gr; The Monument in the City of London provides views of the surrounding area while commemorating the Gr; London was the world's largest city from about 1831 to 1925. London's overcrowded conditions led to ,,
"In addition to ghost employees and the black market receiving drugs, what other way was money expended?","Instead, the donated money was expended through ""counterfeit drugs, siphoning off of drugs to the black market, and payments to ghost employees"". Ultimately, there is a sufficient amount of money for ...",True,True,True,True,186.11,328.97,"Instead, the donated money was expended through ""counterfeit drugs, siphoning off of drugs to the bl; Drug trafficking is the major illegal source of income in Tajikistan as it is an important transit c; The Kerry Committee report found that ""the Contra drug links included..... payments to drug traffick","Instead, the donated money was expended through ""counterfeit drugs, siphoning off of drugs to the bl; In 1979, the committees began the redistribution of land in the Jefara plain, continuing through 198; Drug trafficking is the major illegal source of income in Tajikistan as it is an important transit c",,
What percent of Native American ancestry may originate through gene flow from the Mal'ta-Buret' population?,"A 2013 study in Nature reported that DNA found in the 24,000-year-old remains of a young boy from the archaeological Mal'ta-Buret' culture suggest that up to one-third of the indigenous Americans may ...",True,True,True,True,168.98,433.45,"A 2013 study in Nature reported that DNA found in the 24,000-year-old remains of a young boy from th; Genetic studies of mitochondrial DNA (mtDNA) of Amerindians and some Siberian and Central Asian peop; Multiracial Americans are also a sizable minority in the Bronx. People of multiracial heritage numbe","A 2013 study in Nature reported that DNA found in the 24,000-year-old remains of a young boy from th; Native Americans in the United States make up 0.97% to 2% of the population. In the 2010 census, 2.9; Genetic studies of mitochondrial DNA (mtDNA) of Amerindians and some Siberian and Central Asian peop",,
"In Africa, the finances are often moved where?","Economists argue that one of the factors behind the differing economic development in Africa and Asia is that in Africa, corruption has primarily taken the form of rent extraction with the resulting f...",True,True,True,True,178.62,309.72,"Economists argue that one of the factors behind the differing economic development in Africa and Asi; In the early 1980s, rapidly rising oil revenues enabled the government to finance large-scale develo; Corruption is often most evident in countries with the smallest per capita incomes, relying on forei","Economists argue that one of the factors behind the differing economic development in Africa and Asi; Corruption is often most evident in countries with the smallest per capita incomes, relying on forei; University of Massachusetts Amherst researchers estimated that from 1970 to 1996, capital flight fro",,
"Along with the first and second, what person influenced verb variation in Old English?","The form of the verb varies with person (first, second and third), number (singular and plural), tense (present and past), and mood (indicative, subjunctive and imperative). Old English also sometimes...",True,True,True,True,171.02,374.97,"The strength of the Viking influence on Old English appears from the fact that the indispensable ele; The influence of Old Norse certainly helped move English from a synthetic language along the continu; The form of the verb varies with person (first, second and third), number (singular and plural), ten","The form of the verb varies with person (first, second and third), number (singular and plural), ten; The form of the verb varies with person (first, second and third), number (singular and plural), ten; The strength of the Viking influence on Old English appears from the fact that the indispensable ele",,
WHere was the proposed conference held?,"In 1899, a Doncaster member of the Amalgamated Society of Railway Servants, Thomas R. Steels, proposed in his union branch that the Trade Union Congress call a special conference to bring together all...",True,True,True,True,169.32,319.9,"In 1899, a Doncaster member of the Amalgamated Society of Railway Servants, Thomas R. Steels, propos; In 1965, Paul VI decided on the creation of a joint working group with the World Council of Churches; In 1955 American nuclear arms policy became one aimed primarily at arms control as opposed to disarm","In 1899, a Doncaster member of the Amalgamated Society of Railway Servants, Thomas R. Steels, propos; In 1899, a Doncaster member of the Amalgamated Society of Railway Servants, Thomas R. Steels, propos; In 1955 American nuclear arms policy became one aimed primarily at arms control as opposed to disarm",,
"Which note is occasionally called a ""yardstick""?","A ""grand"", sometimes shortened to simply ""G"", is a common term for the amount of $1,000. The suffix ""K"" or ""k"" (from ""kilo-"") is also commonly used to denote this amount (such as ""$10k"" to mean $10,00...",True,True,True,True,169.62,483.55,"A ""grand"", sometimes shortened to simply ""G"", is a common term for the amount of $1,000. The suffix ; A ""grand"", sometimes shortened to simply ""G"", is a common term for the amount of $1,000. The suffix ; The Canadian football field is 150 yards (137 m) long and 65 yards (59 m) wide with end zones 20 yar","A ""grand"", sometimes shortened to simply ""G"", is a common term for the amount of $1,000. The suffix ; A ""grand"", sometimes shortened to simply ""G"", is a common term for the amount of $1,000. The suffix ; A ""grand"", sometimes shortened to simply ""G"", is a common term for the amount of $1,000. The suffix ",,
Where are Burgenland Croats located?,"^9 Sub-groups of Croats include Bunjevci (in Bačka), Šokci (in Slavonia and Vojvodina), Janjevci (in Kosovo), Burgenland Croats (in Austria), Bosniaks (in Hungary), Molise Croats (in Italy), Krashovan...",True,True,True,True,170.39,397.44,"^9 Sub-groups of Croats include Bunjevci (in Bačka), Šokci (in Slavonia and Vojvodina), Janjevci (in; Note: Besides ethnic groups, Slavs often identify themselves with the local geographical region in w; South Slavic dialects historically formed a continuum. The turbulent history of the area, particular","^9 Sub-groups of Croats include Bunjevci (in Bačka), Šokci (in Slavonia and Vojvodina), Janjevci (in; Note: Besides ethnic groups, Slavs often identify themselves with the local geographical region in w; Strasbourg (/ˈstræzbɜːrɡ/, French pronunciation: ​[stʁaz.buʁ, stʁas.buʁ]; Alsatian: Strossburi; Germ",,
